wkt_geom,left,top,right,bottom,id,Area,Region,Region_Let,Number,Client_Nam,Columna1,Name,Crop,AUTO
MultiPoint ((11699934.77801547385752201 1484940.35880533838644624)),11699884.78,1484990.359,11699984.78,1484890.359,329,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1485240.35880533838644624)),11699884.78,1485290.359,11699984.78,1485190.359,326,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1485140.35880533838644624)),11699884.78,1485190.359,11699984.78,1485090.359,327,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484640.35880533838644624)),11699884.78,1484690.359,11699984.78,1484590.359,332,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484540.35880533838644624)),11699884.78,1484590.359,11699984.78,1484490.359,333,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484840.35880533838644624)),11699884.78,1484890.359,11699984.78,1484790.359,330,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484740.35880533838644624)),11699884.78,1484790.359,11699984.78,1484690.359,331,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485740.35880533838644624)),11699984.78,1485790.359,11700084.78,1485690.359,341,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11700034.77801547385752201 1485640.35880533838644624)),11699984.78,1485690.359,11700084.78,1485590.359,342,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484440.35880533838644624)),11699884.78,1484490.359,11699984.78,1484390.359,334,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699934.77801547385752201 1484340.35880533838644624)),11699884.78,1484390.359,11699984.78,1484290.359,335,171.3918142,Avocado,A,3,,c,A3-c,,0
MultiPoint ((11699834.77801547385752201 1485540.35880533838644624)),11699784.78,1485590.359,11699884.78,1485490.359,303,171.3918142,Avocado,A,3,,c,A3-c,,0
